Sub-Curriculum Title,Sub-Curriculum Parent ID,Curriculum ID,Curriculum Title,Curriculum Description,Item Type,Item ID,Revision Number,Item Title,Initial Period (Item),Initial Number (Item),Effective Date,Sub-Curriculum ID,,,Active,Date Created
,,CUR-LSG-BED-QC-0015,Bioburden for RODI Water (Bedford QC),"This training will cover how QC performs bioburden testing using the Milliflex Pump on RODI water samples taken from the water loops at the Bedford and Framingham Sites as well as verification of incubator temperature by thermometer.  An over view of how the samples are processed, how the data is collected, and what to do if the samples have microbial growth will be provided.",DOC,LSG-BED-BED3059,P,BED3059 BIOBURDEN TESTING FOR PROCESS WATER (PPA MA Sites),Days,28,27-Jul-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0015,Bioburden for RODI Water (Bedford QC),"This training will cover how QC performs bioburden testing using the Milliflex Pump on RODI water samples taken from the water loops at the Bedford and Framingham Sites as well as verification of incubator temperature by thermometer.  An over view of how the samples are processed, how the data is collected, and what to do if the samples have microbial growth will be provided.",DOC,LSG-BED-BED1024,C,BED1024 RODI WATER POLICY BEDFORD (PPA MA Sites),Days,28,15-Jun-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0015,Bioburden for RODI Water (Bedford QC),"This training will cover how QC performs bioburden testing using the Milliflex Pump on RODI water samples taken from the water loops at the Bedford and Framingham Sites as well as verification of incubator temperature by thermometer.  An over view of how the samples are processed, how the data is collected, and what to do if the samples have microbial growth will be provided.",DOC,LSG-BED-8-0292-70-0497,G,8-0292-70-0497 PROCESS WATER SAMPLING DATA (PPA MA Sites),Days,28,19-May-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0015,Bioburden for RODI Water (Bedford QC),"This training will cover how QC performs bioburden testing using the Milliflex Pump on RODI water samples taken from the water loops at the Bedford and Framingham Sites as well as verification of incubator temperature by thermometer.  An over view of how the samples are processed, how the data is collected, and what to do if the samples have microbial growth will be provided.",OJT,LSG-BED-QC-OJT-0023,1,Bioburden for RODI Water (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,OJT,LSG-BED-QC-OJT-0024,1,Biotest Ligand Density Assay (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,DOC,LSG-BED-100080114,B2,100080114 TEMPLATE FOR DATA ANALYSIS (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,DOC,LSG-BED-100080115,C,100080115 QCM FOR BIOTEST LIGAND DENSITY (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,DOC,LSG-BED-100080156,B,100080156 CURVE FOR ANTI-A/ANTI-B LIGAND (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,DOC,LSG-BED-100080157,B,100080157 CURVE FOR ANTI-A/ANTI-B LIGAND (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0016,Biotest Ligand Density Testing (Bedford QC),*Include slurry percentage determination procedure training,DOC,LSG-BED-100041504,E00,"100041504 UOP,SPECTRAMAX M2 MICROPLATE READER (PPA MA Sites)",Days,28,20-Jan-26,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0017,Buffer Prep (Bedford QC),Training to cover scope of any buffer required to be made for testing,DOC,LSG-BED-BED3020,AF,BED3020 QC & COLUMN PRODUCTION BUFFER PREP (PPA MA Sites),Days,28,6-Mar-26,,,,Yes,10-Apr-25
